datetime_of_operation,image_path,image_name,classification_result,non_defect_prob,defect_prob,nominal_description,defective_description
2024-11-07T21:37:42.721515,layer101,layer101,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:43.080142,layer102,layer102,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer228: A defective layer
2024-11-07T21:37:43.435958,layer103,layer103,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:43.663918,layer104,layer104,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:43.875725,layer105,layer105,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:44.089672,layer106,layer106,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:44.307940,layer107,layer107,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:44.551181,layer108,layer108,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:44.789809,layer109,layer109,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:45.031315,layer110,layer110,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:45.271570,layer111,layer111,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:45.524286,layer112,layer112,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:45.747807,layer113,layer113,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:45.959409,layer114,layer114,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:46.173304,layer115,layer115,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:46.388940,layer116,layer116,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:46.631790,layer117,layer117,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:46.868868,layer118,layer118,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:47.113362,layer119,layer119,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:47.360673,layer120,layer120,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:47.613910,layer121,layer121,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:37:47.838036,layer122,layer122,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:48.049655,layer131,layer131,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:48.261657,layer132,layer132,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:37:48.482280,layer133,layer133,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer90: A defective layer
2024-11-07T21:37:48.711356,layer134,layer134,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:48.923955,layer135,layer135,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:49.139469,layer136,layer136,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:49.358090,layer137,layer137,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:49.575529,layer138,layer138,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:49.797996,layer139,layer139,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:50.014326,layer140,layer140,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:50.228570,layer141,layer141,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:50.446261,layer142,layer142,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:50.690002,layer143,layer143,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:50.967263,layer144,layer144,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:51.217734,layer145,layer145,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:51.467657,layer146,layer146,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:51.727628,layer147,layer147,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:51.970392,layer148,layer148,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:52.223215,layer149,layer149,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:37:52.472975,layer150,layer150,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:52.724506,layer151,layer151,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:52.950707,layer152,layer152,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:53.169859,layer153,layer153,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:53.392719,layer154,layer154,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:37:53.698223,layer155,layer155,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:54.081862,layer156,layer156,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:54.473479,layer166,layer166,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:54.864977,layer167,layer167,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:55.243861,layer168,layer168,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:55.630280,layer169,layer169,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:56.030944,layer170,layer170,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:56.408128,layer171,layer171,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:56.784256,layer172,layer172,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:57.149473,layer173,layer173,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:57.500193,layer174,layer174,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:57.864406,layer175,layer175,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:37:58.239638,layer176,layer176,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:58.578452,layer177,layer177,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:58.791150,layer178,layer178,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:37:59.004525,layer179,layer179,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:59.227820,layer180,layer180,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:37:59.441165,layer181,layer181,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:37:59.656760,layer182,layer182,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:37:59.871708,layer183,layer183,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:00.088959,layer184,layer184,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:00.323343,layer185,layer185,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer303: A defective layer
2024-11-07T21:38:00.543804,layer186,layer186,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:00.760180,layer187,layer187,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:00.973717,layer188,layer188,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:01.202501,layer189,layer189,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:38:01.419824,layer190,layer190,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:01.637406,layer191,layer191,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:01.857478,layer202,layer202,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:02.105353,layer203,layer203,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:02.367080,layer204,layer204,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:02.615091,layer205,layer205,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer90: A defective layer
2024-11-07T21:38:02.862458,layer206,layer206,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:03.106967,layer207,layer207,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:38:03.368399,layer208,layer208,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:03.613277,layer209,layer209,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:03.855517,layer210,layer210,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer90: A defective layer
2024-11-07T21:38:04.101913,layer211,layer211,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:04.360139,layer212,layer212,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:04.606877,layer213,layer213,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:04.851930,layer214,layer214,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:05.102342,layer215,layer215,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:05.364133,layer216,layer216,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:05.614871,layer217,layer217,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:05.858870,layer218,layer218,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:06.094510,layer219,layer219,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:06.315516,layer220,layer220,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:06.545105,layer221,layer221,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:06.761345,layer222,layer222,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:38:06.982927,layer223,layer223,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:07.229053,layer224,layer224,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:07.489891,layer225,layer225,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:07.736877,layer226,layer226,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer228: A defective layer
2024-11-07T21:38:07.979092,layer227,layer227,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:08.228987,layer239,layer239,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:08.489113,layer240,layer240,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer228: A defective layer
2024-11-07T21:38:08.821655,layer241,layer241,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:38:09.205932,layer242,layer242,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:09.597888,layer243,layer243,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:09.974581,layer244,layer244,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:10.352341,layer245,layer245,Defective,0.498,0.502,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:10.746494,layer246,layer246,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:11.128871,layer247,layer247,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:11.509631,layer248,layer248,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:38:11.908563,layer249,layer249,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:12.294949,layer250,layer250,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:12.683575,layer251,layer251,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:13.099215,layer252,layer252,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:13.464189,layer253,layer253,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:38:13.735366,layer254,layer254,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:13.963620,layer255,layer255,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer303: A defective layer
2024-11-07T21:38:14.180255,layer256,layer256,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:14.398392,layer257,layer257,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:14.614864,layer258,layer258,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer90: A defective layer
2024-11-07T21:38:14.832658,layer259,layer259,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:15.062607,layer260,layer260,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:15.276281,layer261,layer261,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:15.490910,layer262,layer262,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:15.705163,layer263,layer263,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:15.932431,layer264,layer264,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer228: A defective layer
2024-11-07T21:38:16.147423,layer277,layer277,Defective,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:16.362862,layer278,layer278,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:16.574193,layer279,layer279,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer157: A defective layer
2024-11-07T21:38:16.790205,layer280,layer280,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:17.017972,layer281,layer281,Nominal,0.502,0.498,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:17.231226,layer282,layer282,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:17.448680,layer283,layer283,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:17.663822,layer284,layer284,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:17.879913,layer285,layer285,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:18.110918,layer286,layer286,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer265: A defective layer
2024-11-07T21:38:18.342344,layer287,layer287,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer58: A defective layer
2024-11-07T21:38:18.584121,layer288,layer288,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer123: A defective layer
2024-11-07T21:38:18.831236,layer289,layer289,Nominal,0.501,0.499,Image layer355: A nominal layer,Image layer192: A defective layer
2024-11-07T21:38:19.094595,layer290,layer290,Nominal,0.5,0.5,Image layer355: A nominal layer,Image layer26: A defective layer
2024-11-07T21:38:19.343487,layer291,layer291,Defective,0.499,0.501,Image layer355: A nominal layer,Image layer192: A defective layer
